CustomerKey;GeographyKey;CustomerLabel;Title;FirstName;MiddleName;LastName;NameStyle;BirthDate;MaritalStatus;Suffix;Gender;EmailAddress;YearlyIncome;TotalChildren;NumberChildrenAtHome;Education;Occupation;HouseOwnerFlag;NumberCarsOwned;AddressLine1;AddressLine2;Phone;DateFirstPurchase;CustomerType;CompanyName;ETLLoadID;LoadDate;UpdateDate
4;519;11003;NULL;Christy;NULL;Zhu;0;1968-02-15;S;NULL;F;christy12@adventure-works.com;70000,00;0;0;Bachelors;Professional;0;1;1825 Village Pl.;NULL;1 (11) 500 555-0162;2001-07-01;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
3502;430;14501;NULL;Ruben;NULL;Prasad;0;1938-05-13;M;NULL;M;ruben10@adventure-works.com;80000,00;4;0;Graduate Degree;Management;1;2;249 Alexander Pl.;NULL;175-555-0159;2001-07-01;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
10769;511;21768;NULL;Cole;A;Watson;0;1946-08-22;S;NULL;M;cole1@adventure-works.com;70000,00;5;0;Bachelors;Management;1;3;601 Asilomar Dr.;NULL;110-555-0129;2001-07-01;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
14864;500;25863;NULL;Sydney;S;Wright;0;1946-12-03;S;NULL;F;sydney61@adventure-works.com;40000,00;5;0;High School;Professional;1;3;4193 E. 28th Street;NULL;285-555-0113;2001-07-01;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
17390;528;28389;NULL;Rachael;M;Martinez;0;1964-12-18;S;NULL;F;rachael16@adventure-works.com;20000,00;3;3;High School;Manual;0;0;14, avenue du Port;NULL;1 (11) 500 555-0190;2001-07-01;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16646;619;27645;NULL;Colin;G;Anand;0;1961-08-18;M;NULL;M;colin45@adventure-works.com;120000,00;1;3;High School;Professional;1;4;7626 Sinclair Avenue;NULL;199-555-0186;2001-07-02;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
6;478;11005;NULL;Julio;NULL;Ruiz;0;1965-08-05;S;NULL;M;julio1@adventure-works.com;70000,00;0;0;Bachelors;Professional;1;1;7305 Humphrey Drive;NULL;1 (11) 500 555-0151;2001-07-02;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
12;478;11011;NULL;Curtis;NULL;Lu;0;1963-11-04;M;NULL;M;curtis9@adventure-works.com;60000,00;4;4;Bachelors;Professional;1;4;1224 Shoenic;NULL;1 (11) 500 555-0117;2001-07-02;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5625;531;16624;NULL;Albert;R;Alvarez;0;1972-07-27;S;NULL;M;albert7@adventure-works.com;90000,00;0;0;Bachelors;Professional;0;3;3541 Corte Poquito;NULL;1 (11) 500 555-0114;2001-07-02;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5518;706;16517;NULL;Katrina;M;Raji;0;1976-03-19;M;NULL;F;katrina20@adventure-works.com;10000,00;1;1;High School;Manual;1;0;3196 Peachwillow;NULL;1 (11) 500 555-0113;2001-07-03;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5352;680;16351;NULL;Martha;C;Xu;0;1954-07-07;S;NULL;F;martha12@adventure-works.com;80000,00;2;0;Partial College;Skilled Manual;0;2;7418 Jumping St.;NULL;1 (11) 500 555-0118;2001-07-03;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
9043;651;20042;NULL;Brad;D;Deng;0;1974-05-04;M;NULL;M;brad2@adventure-works.com;40000,00;1;1;Bachelors;Skilled Manual;1;0;2732 Frisbie Ct.;NULL;1 (11) 500 555-0111;2001-07-03;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16617;502;27616;NULL;Emma;W;Brown;0;1965-12-11;S;NULL;F;emma3@adventure-works.com;120000,00;3;2;Bachelors;Management;1;4;3455 Southbrook Dr.;NULL;231-555-0147;2001-07-03;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16622;547;27621;NULL;Edward;NULL;Brown;0;1964-01-27;S;NULL;M;edward26@adventure-works.com;160000,00;0;0;Graduate Degree;Management;0;4;2226 Cleveland Avenue;NULL;238-555-0128;2001-07-03;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16607;660;27606;NULL;Courtney;A;Edwards;0;1957-05-27;S;NULL;F;courtney1@adventure-works.com;70000,00;2;1;Partial College;Professional;0;0;1627 Ashford Court;NULL;257-555-0188;2001-07-04;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2514;569;13513;NULL;Abigail;R;Henderson;0;1941-09-08;M;NULL;F;abigail73@adventure-works.com;30000,00;1;0;Bachelors;Clerical;1;0;Am Grossen Dern 4284;NULL;1 (11) 500 555-0133;2001-07-04;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2592;576;13591;NULL;Latasha;A;Alonso;0;1953-05-25;M;NULL;F;latasha8@adventure-works.com;170000,00;0;5;Bachelors;Management;1;3;2168 Reading Drive;NULL;1 (11) 500 555-0110;2001-07-05;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5484;656;16483;NULL;Warren;S;Jai;0;1950-10-17;M;NULL;M;warren42@adventure-works.com;40000,00;2;0;Bachelors;Management;1;2;9276 Blackwood Drive;NULL;1 (11) 500 555-0119;2001-07-05;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5530;634;16529;NULL;Jonathon;R;Gutierrez;0;1977-07-28;M;NULL;M;jonathon8@adventure-works.com;20000,00;0;0;Bachelors;Clerical;1;0;3571 N St.;NULL;1 (11) 500 555-0161;2001-07-05;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16602;443;27601;NULL;Sydney;C;Rogers;0;1953-11-10;S;NULL;F;sydney3@adventure-works.com;60000,00;3;1;Partial High School;Skilled Manual;0;3;1016 Park Avenue;NULL;958-555-0163;2001-07-05;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
14250;634;25249;NULL;Alexandra;H;Watson;0;1957-08-08;S;NULL;F;alexandra20@adventure-works.com;70000,00;1;0;Partial College;Skilled Manual;0;1;2904 San Simeon Ct.;NULL;1 (11) 500 555-0134;2001-07-05;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16613;584;27612;NULL;Lucas;NULL;Hill;0;1956-11-25;M;NULL;M;lucas45@adventure-works.com;60000,00;2;0;High School;Professional;1;2;8521 C Mt. Hood Circle;NULL;219-555-0196;2001-07-06;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
16669;642;27668;NULL;Kevin;NULL;Gonzalez;0;1953-10-26;S;NULL;M;kevin46@adventure-works.com;70000,00;3;0;Graduate Degree;Management;1;2;1299 Bundros Court;NULL;499-555-0114;2001-07-06;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2591;576;13590;NULL;Louis;B;Xie;0;1953-05-18;M;NULL;M;louis20@adventure-works.com;170000,00;0;5;Bachelors;Management;0;3;6553 San Miguel Rd.;NULL;1 (11) 500 555-0115;2001-07-06;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2265;640;13264;NULL;Melanie;NULL;Sanchez;0;1956-05-23;M;NULL;F;melanie47@adventure-works.com;120000,00;3;4;High School;Professional;1;4;Heiderplatz 948;NULL;1 (11) 500 555-0118;2001-07-06;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
2582;481;13581;NULL;Albert;W;Blanco;0;1946-10-19;M;NULL;M;albert15@adventure-works.com;130000,00;4;4;Partial College;Professional;1;4;3316 Balhan Dr;NULL;1 (11) 500 555-0130;2001-07-07;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
3521;442;14520;NULL;Bonnie;C;Xu;0;1978-12-18;S;NULL;F;bonnie10@adventure-works.com;40000,00;0;0;Partial College;Skilled Manual;0;1;3981 Bell Drive;NULL;564-555-0124;2001-07-07;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
5521;425;16520;NULL;Misty;NULL;Raji;0;1976-10-23;M;NULL;F;misty23@adventure-works.com;10000,00;1;1;High School;Manual;1;0;3511 B Eagle Peak Rd.;NULL;1 (11) 500 555-0195;2001-07-07;Person;NULL;1;2009-10-01 00:00:00.000;2009-10-01 00:00:00.000
